step	role	source_path	file_name	file_ext	size_bytes	sha256	release_path
code	analysis_script	/mnt/h/vir/ST/37_train_strokeniche_perturb_adapter_calibrated_before_strict_fraction.py	37_train_strokeniche_perturb_adapter_calibrated_before_strict_fraction.py	.py	39780	91b8feb6864986797f9e1146003103f38a1c72a64eda174f802aaf9dffa2b9d3	github_repo_skeleton/scripts/37_train_strokeniche_perturb_adapter_calibrated_before_strict_fraction.py
code	analysis_script	/mnt/h/vir/ST/37_train_strokeniche_perturb_adapter_original_unbounded.py	37_train_strokeniche_perturb_adapter_original_unbounded.py	.py	37781	c05d0890a2a0c2103a78c1d971bd4319dcad68eb3ee5a06eabc3bcf0bf039823	github_repo_skeleton/scripts/37_train_strokeniche_perturb_adapter_original_unbounded.py
code	analysis_script	/mnt/h/vir/ST/37b_boundary_graph_loss_ablation.py	37b_boundary_graph_loss_ablation.py	.py	32969	6b95a410e4b471006bfc9d90da35d3d870aef1b2e2d1eaf3c423b7c23d9665da	github_repo_skeleton/scripts/37b_boundary_graph_loss_ablation.py
code	analysis_script	/mnt/h/vir/ST/37c_run_all_variant_training_ablation.py	37c_run_all_variant_training_ablation.py	.py	17977	0879e4984479f144c2b681f5cce45670c8de4e115699b2ce509253aadd6f73e1	github_repo_skeleton/scripts/37c_run_all_variant_training_ablation.py
code	analysis_script	/mnt/h/vir/ST/37c_train_perturb_adapter_with_boundary_graph_loss.py	37c_train_perturb_adapter_with_boundary_graph_loss.py	.py	31009	0a8a3569adc6e4499861b32dfc0d820ca67ce03bb3629c449be04c6ed94c8f30	github_repo_skeleton/scripts/37c_train_perturb_adapter_with_boundary_graph_loss.py
code	analysis_script	/mnt/h/vir/ST/38_plot_strokeniche_perturbmap.py	38_plot_strokeniche_perturbmap.py	.py	12572	24de96a0ba5c7f7fec2566af78c9af1c47bd6eb878bfc6b3d454eb2ec8cb967c	github_repo_skeleton/scripts/38_plot_strokeniche_perturbmap.py
code	analysis_script	/mnt/h/vir/ST/38b_polish_strokeniche_perturbmap_fig7AF.py	38b_polish_strokeniche_perturbmap_fig7AF.py	.py	14432	dfd5afb632061788b11979642f9e6187d70c7d6c51ccc4d7feed50c8f132a53e	github_repo_skeleton/scripts/38b_polish_strokeniche_perturbmap_fig7AF.py
code	analysis_script	/mnt/h/vir/ST/39_add_perturbmap_specificity_and_drug_mapping.py	39_add_perturbmap_specificity_and_drug_mapping.py	.py	39726	2feeb0dff2d39223030053ca8913619d2d9d27cd77d2c414e6278928e5ef2113	github_repo_skeleton/scripts/39_add_perturbmap_specificity_and_drug_mapping.py
code	analysis_script	/mnt/h/vir/ST/40_add_neighbor_shift_distance.py	40_add_neighbor_shift_distance.py	.py	37369	178db6597ca1dc25501fcf8fe5defe18bd36714ae6e160b062c835aa8bf61263	github_repo_skeleton/scripts/40_add_neighbor_shift_distance.py
code	analysis_script	/mnt/h/vir/ST/41_cmap_lincs_signature_reversal.py	41_cmap_lincs_signature_reversal.py	.py	47280	eec201c8a50c67344f480286c4fa511175e0091b8e13cbe4268dc5b89658a693	github_repo_skeleton/scripts/41_cmap_lincs_signature_reversal.py
code	analysis_script	/mnt/h/vir/ST/41c_prepare_lincs2020_compact_long.py	41c_prepare_lincs2020_compact_long.py	.py	11885	27ec77e2f5499d97155cd8e37d7c8c25dc22b3f2eed1fd925dffc62b447b03ab	github_repo_skeleton/scripts/41c_prepare_lincs2020_compact_long.py
code	analysis_script	/mnt/h/vir/ST/41e_real_lincs_drug_reversal_from_standardized_long.py	41e_real_lincs_drug_reversal_from_standardized_long.py	.py	16120	6e9b88e7a3ed3e3068ff48b631800fc56035945b64fa889f95cf2a22e5404747	github_repo_skeleton/scripts/41e_real_lincs_drug_reversal_from_standardized_long.py
code	analysis_script	/mnt/h/vir/ST/43_integrate_drug_knowledge_for_perturbmap.py	43_integrate_drug_knowledge_for_perturbmap.py	.py	35464	ca970e790abd1b00a3e1b731151924d221772078eb76e7f24566438328d8d2c6	github_repo_skeleton/scripts/43_integrate_drug_knowledge_for_perturbmap.py
code	analysis_script	/mnt/h/vir/ST/44_refine_strokeniche_drug_priority.py	44_refine_strokeniche_drug_priority.py	.py	42830	323fc6cf2f446badf0dbef73f9c971ded7b71485d03fc155d4a20a37fb34492b	github_repo_skeleton/scripts/44_refine_strokeniche_drug_priority.py
code	analysis_script	/mnt/h/vir/ST/44b_fix_lincs_refined_knowledge_annotations.py	44b_fix_lincs_refined_knowledge_annotations.py	.py	24573	0b9e3e35a1a64e1111c79abb91bef8226017ff5bfff6e8c9dea723e53c6dc1b5	github_repo_skeleton/scripts/44b_fix_lincs_refined_knowledge_annotations.py
code	analysis_script	/mnt/h/vir/ST/45_audit_finalize_lincs_strokeniche_prioritization.py	45_audit_finalize_lincs_strokeniche_prioritization.py	.py	33853	ee700eabedd8cdc25841d85338385f50c047a304431b2ffbb726caf6cc744cbf	github_repo_skeleton/scripts/45_audit_finalize_lincs_strokeniche_prioritization.py
code	analysis_script	/mnt/h/vir/ST/46_standardize_41_candidate_for_44_45.py	46_standardize_41_candidate_for_44_45.py	.py	9535	d2ea540937a8e772f74fd90e05ab0397a434b8bb16270e91a692c1b9b1b3d704	github_repo_skeleton/scripts/46_standardize_41_candidate_for_44_45.py
code	analysis_script	/mnt/h/vir/ST/46b_standardize_41_candidate_for_44_47.py	46b_standardize_41_candidate_for_44_47.py	.py	8125	0cf648652bb0865a28488dc52169386789714808cdb84318f7f0863a971abb15	github_repo_skeleton/scripts/46b_standardize_41_candidate_for_44_47.py
code	analysis_script	/mnt/h/vir/ST/47_finalize_real_lincs_knowledge_after_44b.py	47_finalize_real_lincs_knowledge_after_44b.py	.py	17138	a455edfcd3e84db48c38e72228cbe7a7e99e1c3f1195b69da895e18bc81e2f7e	github_repo_skeleton/scripts/47_finalize_real_lincs_knowledge_after_44b.py
